Game,Boxart,URL,IARC
Peaky Blinders: Mastermind,https://store-images.s-microsoft.com/image/apps.47719.13935847913343049.d8bf2cbc-a9c4-4350-bd05-8557c918b5ee.a39d965d-5c74-46ed-be2b-0dfc0b071820?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/peaky-blinders-mastermind/9N3JD9J577GQ/0010,16
『F.E.A.R. 2』,https://store-images.s-microsoft.com/image/apps.28447.13937986071481022.12c0d9c2-bd82-440a-8849-6a1e0fb9aa6e.f2b088cf-1055-405c-9eec-53308b0b7b53?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/fear-2/9N36FD821RJ5/0010,18
Bendy and the Dark Revival,https://store-images.s-microsoft.com/image/apps.33570.14600103712942549.98abcb9e-71f2-4865-8704-bc48189c18a2.53f708d0-6a6b-4cba-863d-dcb2a8a30231?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/bendy-and-the-dark-revival/9P44XKC3S56V/0010,12
Maneater,https://store-images.s-microsoft.com/image/apps.16927.14572536018362984.944e7368-3c2f-4b4e-8072-fe5da70a10fa.7c793b5f-5802-41ff-a28a-09de56512b3e?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/maneater/9P5B81KVDGP1/0010,18
Aliens: Fireteam Elite,https://store-images.s-microsoft.com/image/apps.59370.14189206062547849.34667497-3c97-48d3-916d-0cd555e3aee9.2a32a391-5b37-4ec9-9fc1-7bb4159de6b9?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/aliens-fireteam-elite/9PG28RXDG9GQ/0010,16
殺しの館,https://store-images.s-microsoft.com/image/apps.46171.14163413953167753.5fb76bc9-9bdf-4576-9079-0e674a1d536c.dff4e644-f422-4d13-a1c3-2cdf86ce3757?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/5q6644gx44gu6aso/9PCSH678RS9S/0010,18
Five Nights at Freddy's 3,https://store-images.s-microsoft.com/image/apps.63438.14616361015974249.e28034f7-b2bb-44cd-97af-7bf6fb77db9c.48bd5d86-231c-47dc-ae8a-159d7ba31e48?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/five-nights-at-freddys-3/9P6N7LQ4HZFD/0010,12
Divinity: Original Sin 2 - Definitive Edition,https://store-images.s-microsoft.com/image/apps.49838.71924568972017845.42633a93-50e6-4a40-96fe-90eaee8b73d3.eeaf7eea-9812-4200-a54c-e0bb22e9741e?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/divinity-original-sin-2-definitive-edition/BW8PVL4CJ2Q6/0001,18
Inscryption,https://store-images.s-microsoft.com/image/apps.61089.14084380653642072.5b7362f4-7943-463e-aa3b-fca7f77fd749.39b7be9b-bcbb-456e-8ace-fdf7b963ec5e?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/inscryption/9P8NSTDMZ11P/0010,16
Space Engineers,https://store-images.s-microsoft.com/image/apps.9842.13700230312728802.7afc83a6-4afb-4b07-84b4-f40e24213a93.d1ea4d67-7604-4fa5-a7b7-fd15b875814e?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/space-engineers/9NLV3X229LG1/0010,12
Gas Station Simulator,https://store-images.s-microsoft.com/image/apps.52740.13631656374215616.2f20ea09-c3bd-49f4-9f53-6c05560c33e9.d8a4381e-05b3-4d0b-a8d2-2855b36ca3c1?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/gas-station-simulator/9NH6JRWC8MTZ/0010,12
Session: Skate Sim,https://store-images.s-microsoft.com/image/apps.23740.14023280891839684.126863a4-2b5e-4e4f-be05-8ed39179be2e.08709008-0713-4618-8c5d-1f16d9d072bf?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/session-skate-sim/9N67P5D62MWZ/0010,12
ディアブロ II リザレクテッド,https://store-images.s-microsoft.com/image/apps.61919.14357505034575924.27607c86-9992-48ed-bec3-f49a9af6a5d8.bb463f3f-3fc0-425f-83a8-a76bcf293138?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/ii/9NBJG075JFJ5/0010,16
Paint the Town Red,https://store-images.s-microsoft.com/image/apps.20167.14514178938500476.6e7a3630-1b98-4126-9807-5c7da48a1994.e5930333-7375-4d5b-a76d-5d7a10746298?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/paint-the-town-red/9P1471GHNT7P/0010,16
Dead by Daylight: Silent Hill Edition,https://store-images.s-microsoft.com/image/apps.46821.13582568638178716.6a1956cf-b75a-45ed-9ba1-3613638da2aa.6c0191b1-cce9-4b81-807b-92e7ef131652?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/dead-by-daylight-silent-hill-edition/9NG3MM2HKDSM/0010,18
DREDGE - Digital Deluxe Edition,https://store-images.s-microsoft.com/image/apps.61668.14074751371672529.b82cbf74-1744-47f3-abd3-58bb73e2f73e.92ee0162-4bc7-4769-84b2-adc6bedf6958?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/dredge-digital-deluxe-edition/9P95H49KSS5J/0010,12
Troublemaker: Raise Your Gang,https://store-images.s-microsoft.com/image/apps.40116.13890390109442675.8022e2a3-1b7a-4d8b-8ba6-29bbfcebdce1.7019b9b4-204e-4ae7-9853-4f7d538f22ee?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/troublemaker-raise-your-gang/9MXH08PCQ656/0010,16
Ad Infinitum,https://store-images.s-microsoft.com/image/apps.24155.13553368840973969.c02d466a-0c6e-4147-900d-2992aeccf82f.e8dc3b0b-354e-4239-bea3-fc988f7537db?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/ad-infinitum/9ND80SNMBMH8/0010,16
Star Trek: Resurgence,https://store-images.s-microsoft.com/image/apps.60798.14493522474643266.61f5547b-c3b9-40fe-9f04-af83e2ffc6b1.8b9eb1cc-6c59-486d-84d2-8ff6b8f7fbf6?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/star-trek-resurgence/9NXLK4JQ4TPC/0010,16
Dead by Daylight：アルティメットエディション,https://store-images.s-microsoft.com/image/apps.13851.14540982305725605.39eb6fd6-415e-4cbc-a383-26142ebbd4ad.a51bed31-c44a-4741-a918-9d9b29781bba?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/dead-by-daylight/9P3C1LZ601P8/0010,18
Layers of Fear (2023),https://store-images.s-microsoft.com/image/apps.24956.13982350006124632.1aee4da3-6b45-4f93-9496-dff0004c9d1a.aad900ad-bcc5-42df-9f95-c990e42aa2b5?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/layers-of-fear-2023/9N4J5LFGPD87/0010,16
鉄拳6,https://store-images.s-microsoft.com/image/apps.2683.71725309066492610.4166ad7f-bf33-41ee-9868-6009a80bac53.47dfa850-a2c3-4e51-9793-19495e32ec32?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/6/BWTRGX57577H/0001,16
Age of Wonders 4,https://store-images.s-microsoft.com/image/apps.42981.14455012292951382.a6f7f48d-bf80-4c25-ad2c-ed5398d13884.6b14c7d4-4183-4239-84db-f6aab71e833d?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/age-of-wonders-4/9NW6LB2HXH17/0010,16
ブラッドウォッシ,https://store-images.s-microsoft.com/image/apps.37501.14599123363525861.62176224-5ddf-418c-a312-67f7bacf9abf.5835fd2e-c71d-4577-9e79-ce150f7915d2?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/44ow44op44od44oj44km44kp44od44k3/9P3Z84WDHHXQ/0010,18
Tom Clancy's Rainbow Six Vegas 2,https://store-images.s-microsoft.com/image/apps.3234.65350722092865199.201e9ea0-6a9f-43f5-989c-2a4a57fe0801.a80f0add-ff6f-4fe0-b21f-402a79906d61?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/tom-clancys-rainbow-six-vegas-2/C2B588K0RM2S/0001,16
Wreckfest Complete Edition,https://store-images.s-microsoft.com/image/apps.24165.14332297921578795.562a392c-3a08-445b-92da-8feef33330fd.d4abe6cd-7eef-4ca2-9820-64723d3ddbfc?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/wreckfest-complete-edition/9PPBCK707QRV/0010,12
Autobahn Police Simulator,https://store-images.s-microsoft.com/image/apps.36247.14374602636231688.73d0f24f-8df1-44b7-8cad-c93f1a4a1b3b.60fc169e-57f9-4315-aea0-83917e587a52?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/autobahn-police-simulator/9NRX3HRMZQ7Z/0010,12
Mortal Shell: Enhanced Edition,https://store-images.s-microsoft.com/image/apps.60033.14112185653659482.b5e15e3a-13c2-47bd-9e60-7709b165611f.727ea54e-9116-49fb-9def-e303eda19df8?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/mortal-shell-enhanced-edition/9PC2BJDXR2LK/0010,16
Maneater Apex Edition,https://store-images.s-microsoft.com/image/apps.26599.13747022178020176.f143575a-9975-4e6d-8177-a9a357d21675.3382f66c-a447-4b10-b2d2-fa738f50963d?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/maneater-apex-edition/9NN8R15LFDGC/0010,18
Slender: The Arrival (2015),https://store-images.s-microsoft.com/image/apps.58041.67714816362785337.2c9ff8d0-48a2-4746-ab7f-12033da8ba85.21c2f338-2e8a-4741-84bf-976ec61c5239?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/slender-the-arrival-2015/BP25WLQVLF30/0001,12
GYLT,https://store-images.s-microsoft.com/image/apps.41240.13999468418533749.7d7ec6ad-c0e4-42f6-8c92-8c48efb281dc.c74a5acb-58a5-4fbd-b9ad-8a9beba11b37?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/gylt/9N3NBRGQWP1S/0010,12
Dinobreak,https://store-images.s-microsoft.com/image/apps.22599.14435943051086902.8245e57b-2026-4a06-b921-38c8bfb86ec4.fd91698e-2611-4008-8ff0-416bb40a8903?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/dinobreak/9NWZGX09JMZH/0010,18
